"doi","title","journal","last_updated_epoch","publisher_field","paper_field","attention_score"
"10.1007/s40261-016-0435-6","Adequate Initial Heparin Dosage for Atrial Fibrillation Ablation in Patients Receiving Non-Vitamin K Antagonist Oral Anticoagulants","Clinical Drug Investigation","1486001684","Pharmacology And Pharmaceutical Sciences","Medicine",1.85
"10.1093/ije/dys123","The association of asthma and wheezing with major depressive episodes: an analysis of 245 727 women and men from 57 countries","International Journal of Epidemiology","1509363796","Statistics","Medicine",18.576
"10.1094/phyto-06-13-0148-r","Comparative Pathogenicity, Biocontrol Efficacy, and Multilocus Sequence Typing of Verticillium nonalfalfae from the invasive Ailanthus altissima and other hosts.","Phytopathology","1433198696","Plant Biology","Agricultural and Biological Sciences",3
"10.1111/resp.13133","Spirometry training courses: Content, delivery and assessment - a position statement from the Australian and New Zealand Society of Respiratory Science","Respirology","1501588232","Medical And Health Sciences","Medicine",1
"10.1139/cjp-2013-0282","Rigorous studies on magnetic susceptibilities of a defective finite Ising chain","Canadian Journal of Physics","1401586171","Mathematical Sciences","Physical Sciences",0.25
"10.1111/tmi.12853","Prevalence and risk factors for scrub typhus in South India","Tropical Medicine & International Health","1486571958","Public Health And Health Services","Health Sciences",0.5
"10.1016/j.jvs.2016.08.077","Impact of acute cerebral ischemic lesions and their volume on the revascularization outcome of symptomatic carotid stenosis","Journal of Vascular Surgery","1486994795","Medical And Health Sciences","Medicine",0.5
"10.1093/eurpub/cks034","The impact of out-of-pocket payments on prevention and health-related lifestyle: a systematic literature review","European Journal of Public Health","1470285599","Public Health And Health Services","Medicine",8.25
"10.1080/09546553.2018.1432211","Yesterday’s Law: Terrorist Group Listing in Canada","Terrorism and Political Violence","1524701212","Criminology","Social Sciences",3.1
"10.1603/me13112","A User Friendly Method to Assess <I>Anopheles stephensi</I> (Diptera: Culicidae) Vector Fitness: Fecundity","Journal of Medical Entomology","1405419484","Medical And Health Sciences","Veterinary",0.5
"10.1038/nclimate3218","Hydroclimate: Stronger atmospheric fronts","Nature Climate Change","1485952354","Atmospheric dynamics",NA,2.25
"10.1016/0002-9378(91)90589-j","Carrier screening for cystic fibrosis: Implications for obstetric and gynecologic practice","American Journal of Obstetrics & Gynecology","1484158600","Paediatrics And Reproductive Medicine","Medicine",3
"10.1126/science.1180725","NIH Guidelines for Stem Cell Research and Gamete Donors","Science","1266566760",NA,"General",5.096
"10.1523/jneurosci.4231-09.2010","Impact of actin filament stabilization on adult hippocampal and olfactory bulb neurogenesis.","Journal of Neuroscience","1354110000","Medical And Health Sciences","Life Sciences",0.5
"10.1016/0029-5493(87)90039-2","Testing of large-scale concrete containment structural elements","Nuclear Engineering & Design","1432749679","Interdisciplinary Engineering","Materials Science",3
"10.1111/php.12929","Light-emitting Diode Blue Light Alters the Ability of Penicillium digitatum to Infect Citrus Fruits","Photochemistry & Photobiology","1528119039","Physical Sciences","Biochemistry, Genetics and Molecular Biology",1.5
"10.2147/ijn.s32000","Protein encapsulation in polymeric microneedles by photolithography","International Journal of Nanomedicine","1363133083","Nanotechnology","Biochemistry, Genetics and Molecular Biology",0.25
"10.1088/0067-0049/202/2/14","AN
                    XMM-NEWTON
                    SURVEY OF THE SOFT X-RAY BACKGROUND. II. AN ALL-SKY CATALOG OF DIFFUSE O VII AND O VIII EMISSION INTENSITIES","The Astrophysical Journal Supplement Series","1345703178","Astronomical And Space Sciences","Earth and Planetary Sciences",0.25
"10.1016/j.biopsych.2014.11.006","MicroRNAs in Copy Number Variants in Schizophrenia: Misregulation of Genome-wide Gene Expression Programs","Biological Psychiatry","1439622306",NA,NA,1.25
"10.1080/13614533.2016.1271238","Establishing Quality in University Libraries: Role of External Frameworks","New Review of Academic Librarianship","1514715697","Library And Information Studies",NA,9.15
"10.1080/00016489.2016.1203993","Preceding profound deafness and co-factors promote development of endolymphatic hydrops in preliminary patients with delayed endolymphatic hydrops","Acta Oto-Laryngologica","1468014951","Clinical Sciences","Medicine",0.5
"10.1006/bbrc.1995.2400","The Ubiquitous VA68 Isoform of Subunit-A of the Vacuolar H+-ATPase Is Highly Expressed in Human Osteoclasts","Biochemical & Biophysical Research Communications","1198146836","Medicinal And Biomolecular Chemistry","Biochemistry, Genetics and Molecular Biology",3
"10.1080/08870446.2016.1247840","The two sides of goal intentions: Intention self-concordance and intention strength as predictors of physical activity","Psychology &amp; Health","1477765854","Psychology","Health Sciences",1.85
"10.1109/tsc.2011.30","A Trusted Virtual Machine in an Untrusted Management Environment","IEEE Transactions on Services Computing","1502150400","Computer Software","Physical Sciences",3
"10.1021/acs.chemmater.8b02591","Sub-Monolayer Accuracy in Determining the Number of Atoms per Unit Area in Ultrathin Films Using X-ray Fluorescence","Chemistry of Materials","1538013669","Chemical Sciences","Materials Science",2.45
"10.1016/s0277-5387(00)83767-5","The synthesis of bis(hexamethyldisilylamido)barium(II)","Polyhedron","1328897295","Inorganic Chemistry","Materials Science",3
"10.1016/j.jstrokecerebrovasdis.2016.09.022","Plasmin (Human) Administration in Acute Middle Cerebral Artery Ischemic Stroke: Phase 1/2a, Open-Label, Dose-Escalation, Safety Study","Journal of Stroke & Cerebrovascular Diseases","1477560967","Clinical Sciences","Medicine",0.75
"10.1145/2638554","Resource-Aware Task Scheduling","ACM Transactions on Embedded Computing Systems","1524528000","Computer Software","Physical Sciences",3
"10.1007/s11886-016-0724-y","CETP Inhibition in CVD Prevention: an Actual Appraisal","Current Cardiology Reports","1459739120","Cardiology","Medicine",1
"10.3109/10799893.2016.1141952","Molecular dynamics-based identification of novel natural mortalin–p53 abrogators as anticancer agents","Journal of Receptor & Signal Transduction Research","1493201047","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",0.75
"10.1016/j.neuroimage.2017.05.062","Linking dopaminergic reward signals to the development of attentional bias: A positron emission tomographic study","NeuroImage","1539187262","Medical And Health Sciences","Life Sciences",5
"10.1016/j.jbtep.2015.09.001","Check, check, double check: Investigating memory deterioration within multiple sessions of repeated checking","Journal of Behavior Therapy & Experimental Psychiatry","1448363374","Psychology","Health Sciences",0.75
"10.1136/bmj.38398.469479.8f","Model of outcomes of screening mammography: information to support informed choices","British Medical Journal","1430426485","Public Health And Health Services","Medicine",12.5
"10.1080/14767058.2018.1432039","Severity of asphyxia is a covariate of phenobarbital clearance in newborns undergoing hypothermia","Journal of Maternal-Fetal & Neonatal Medicine","1523210780","Paediatrics And Reproductive Medicine","Medicine",2.35
"10.1177/0022034514522059","Oligodontia and Curly Hair Occur with Ectodysplasin-A Mutations","Journal of Dental Research","1395073023",NA,"Dentistry",1.25
"10.1021/acs.jpclett.8b03409","Selective Electrochemical Nitrogen Reduction Driven by Hydrogen Bond Interactions at Metal–Ionic Liquid Interfaces","The Journal of Physical Chemistry Letters","1548327078","Chemical Sciences","Materials Science",5.45
"10.1093/ije/29.2.266","Association of thromboangiitis obliterans with cigarette and bidi smoking in Bangladesh: a case-control study","International Journal of Epidemiology","1262304000","Statistics","Medicine",3
"10.1038/sj.onc.1208146","Regulation of c-Met-dependent gene expression by PTEN","Oncogene","1442516032","Oncology And Carcinogenesis","Biochemistry, Genetics and Molecular Biology",4
"10.3945/ajcn.114.101436","Vegetable and fruit consumption and the risk of hormone receptor-defined breast cancer in the EPIC cohort.","American Journal of Clinical Nutrition","1484501530","Medical And Health Sciences","Medicine",51.53
"10.1177/2516043518821497","Engineering a foundation for partnership to improve medication safety during care transitions","Journal of Patient Safety and Risk Management","1553243693",NA,NA,13.65
"10.1016/j.clinbiomech.2010.02.004","In vivo intersegmental motion of the cervical spine using an inverse kinematics procedure","Clinical Biomechanics","1330560000","Biomedical Engineering","Biochemistry, Genetics and Molecular Biology",3
"10.1017/cbo9780511820700","Bronze Age Eleusis and the Origins of the Eleusinian Mysteries",NA,"1507089244",NA,NA,2.25
"10.1016/j.anbehav.2018.11.002","Acquisition of a complex extractive technique by the immature chimpanzees of Loango National Park, Gabon","Animal Behaviour","1549281013","Biological Sciences","Agricultural and Biological Sciences",6.35
"10.1038/nrd.2017.42","To cleave or not to cleave: therapeutic gene editing with and without programmable nucleases","Nature Reviews Drug Discovery","1489840141","Medical And Health Sciences","Medicine",2.95
"10.1080/01490451.2016.1225861","Ammonia-Oxidizing Archaea Dominate Ammonia-Oxidizing Communities within Alkaline Cave Sediments","Geomicrobiology Journal","1482352156","Geology","Life Sciences",0.85
"10.1177/1555458917714285","Factors Impacting School Closure and Configuration","Journal of Cases in Educational Leadership","1502062405","Specialist Studies In Education",NA,1
"10.1111/anae.12624","Postoperative morphine concentration in infants with or without biliary atresia and its association with hepatic blood flow","Anaesthesia","1402477439","Clinical Sciences","Medicine",1
"10.1102/1470-7330.2009.9040","Patient experiences and preferences: development of practice guidelines in a cancer imaging department","Cancer Imaging","1318863631","Oncology And Carcinogenesis","Medicine",1
"10.1111/sms.12818","High ankle injury rate in adolescent basketball: A 3-year prospective follow-up study","Scandinavian Journal of Medicine & Science in Sports","1502617310","Human Movement And Sports Science","Medicine",16.95
"10.1186/1471-2261-13-48","A qualitative synthesis of factors influencing maintenance of lifestyle behaviour change in individuals with high cardiovascular risk","BMC Cardiovascular Disorders","1394875977","Cardiovascular Medicine And Haematology","Medicine",4.2
"10.1332/175982712x657082","Tackling urban poverty in China: the Minimum Living Standard Scheme and its limitations","Journal of Poverty & Social Justice","1464795303",NA,NA,4.2
"10.1097/ajp.0b013e31822efe30","Effect of Immunomodulating Medications in Complex Regional Pain Syndrome","Clinical journal of pain","1369705987","Clinical Sciences","Medicine",2.5
"10.1073/pnas.92.1.320","DNA-dependent protein kinase activity is absent in xrs-6 cells: implications for site-specific recombination and DNA double-strand break repair.","Proceedings of the National Academy of Sciences of the United States of America","991699200","Multidisciplinary","General",6
"10.1109/bgc.geomatics.2017.21","Towards Precise Visual Navigation and Direct Georeferencing for MAV Using ORB-SLAM2",NA,"1509280202",NA,NA,1.25
"10.1016/s0167-2738(97)00308-1","3-volt manganese dioxide: the amorphous alternative","Solid State Ionics","977356800","Condensed Matter Physics","Materials Science",6
"10.5944/empiria.18.2009.2003","Cómo hacer ciencia con aparatos. Un enfoque materialista de la física cuántica","EMPIRIA: Revista de Metodología de Ciencias Sociales","1470588872",NA,NA,1.85
"10.1007/978-3-319-25970-3_29","Local Excision of Rectal Neoplasia",NA,"1461694563","Colorectal Surgery",NA,4.3
"10.5194/adgeo-45-321-2018","Preliminary 3-D geological models of Los Humeros and Acoculco geothermal fields (Mexico) – H2020 GEMex Project","Advances in Geosciences","1542114509","Earth Sciences","Earth and Planetary Sciences",1
"10.1371/journal.pone.0079526","DOK2 Inhibits EGFR-Mutated Lung Adenocarcinoma","PLoS ONE","1395545774","Multidisciplinary","Biochemistry, Genetics and Molecular Biology",4.1
"10.1097/00001888-199508000-00019","A strategy for improving patient satisfaction by the intensive training of residents in psychosocial medicine","Academic medicine","1041379200","Curriculum And Pedagogy","Medicine",3
"10.3390/soc8030070","Young Europeans: A New Political Generation?","Societies","1554915071",NA,NA,30.35
"10.1007/s10973-006-7565-7","Formation of CaO from thermal decomposition of calcium carbonate in the presence of carboxylic acids","Journal of Thermal Analysis & Calorimetry","1436313600","Analytical Chemistry","Physical Sciences",6
"10.1016/j.patcog.2011.03.003","The distance between shape centroids is less than a quarter of the shape perimeter","Pattern Recognition","1410471842","Other Information And Computing Sciences","Physical Sciences",1
"10.1088/0954-898x/13/1/303","A spatially continuous mean field theory of electrocortical activity","Canadian Women's Health Network","1304380800","Information And Computing Sciences","Life Sciences",3
"10.1274/jmor.26.183","Genomic Imprinting in Oogenesis","Journal of Mammalian Ova Research","1500477998",NA,NA,1.85
"10.1007/s00467-018-4001-8","Utilization of the renal angina index in PICU of a developing country for prediction of subsequent severe acute kidney injury","Pediatric Nephrology","1532475667","Paediatrics And Reproductive Medicine","Medicine",2.5
"10.7554/elife.00312","Selection of distinct populations of dentate granule cells in response to inputs as a mechanism for pattern separation in mice","eLife","1460988960",NA,NA,66.174
"10.1016/j.jvir.2009.08.002","Catheter-directed Therapy for the Treatment of Massive Pulmonary Embolism: Systematic Review and Meta-analysis of Modern Techniques","Journal of Vascular and Interventional Radiology","1534204800","Clinical Sciences","Medicine",12
"10.1126/science.289.5481.855","BODY CHEMISTRY: Where Dead Men Really Do Tell Tales","Science","1442899800",NA,"General",10
"10.1002/jbmr.1730","Bone mineral content and density of the lumbar spine of infants and toddlers: Influence of age, sex, race, growth, and human milk feeding","Journal of Bone & Mineral Research","1359710414","Medical And Health Sciences","Medicine",0.5
"10.1016/j.annemergmed.2017.07.047","23 EMF  Mastery Standards for Emergency Medicine Comprehensive Airway Management","Annals of Emergency Medicine","1509283380","Clinical Sciences","Medicine",1
"10.1083/jcb.110.2.427","The cDNA-deduced amino acid sequence for trichohyalin, a differentiation marker in the hair follicle, contains a 23 amino acid repeat","Journal of Cell Biology","1130198400","Biological Sciences","Biochemistry, Genetics and Molecular Biology",6
"10.1002/(sici)1099-1050(199909)8:6<509::aid-hec460>3.3.co;2-s","On measuring the hospital cost/quality trade‐off","Health economics (Online)","1507970251","Economics","Medicine",1.85
"10.1074/jbc.273.19.11695","Natriuretic Peptide Regulation of Endochondral Ossification","Journal of Biological Chemistry","1534809600","Biological Sciences","Biochemistry, Genetics and Molecular Biology",6
"10.1080/01419870.2014.931990","The hollow shell: Loïc Wacquant's vision of state, race and economics","Ethnic and Racial Studies","1502126340","Multidisciplinary","Social Sciences",3.85
"10.1111/j.1365-2516.2004.00934.x","FEIBAR: mode of action","Haemophilia","1442448000","Clinical Sciences","Medicine",9
"10.1016/j.envpol.2018.09.034","Salt marsh denitrification is impacted by oiling intensity six years after the Deepwater Horizon oil spill","Environmental Pollution","1547291712","Multidisciplinary","Physical Sciences",7.83
"10.1080/1369183x.2015.1103173","The ecology of immigrant naturalisation: a life course approach in the context of institutional conditions","Journal of Ethnic and Migration Studies","1447064608","Demography","Social Sciences",2.25
"10.1007/bf00310885","Melt inclusions and crystal-liquid separation in rhyolitic magma of the Bishop Tuff","Contributions to Mineralogy & Petrology","1436776056","Geology","Earth and Planetary Sciences",3
"10.1177/154193129503901520","Comprehension and Perceived Quality of Warning Pictorials","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","1456612105",NA,NA,3
"10.1515/cclm-2014-0474","Hypernatraemia in disguise","Clinical Chemistry and Laboratory Medicine","1401975293","Clinical Sciences",NA,0.5
"10.1007/s00590-013-1263-5","Arthroscopic versus mini-open rotator cuff repair: a prospective, randomized study with 24-month follow-up","European Journal of Orthopaedic Surgery & Traumatology","1406179829","Medicine & Public Health","Medicine",0.25
"10.1016/0030-4018(89)90103-x","Scanning electromagnetic transmission line microscope with sub-wavelength resolution","Optics Communications","1245715200","Optical Physics","Materials Science",6
"10.1042/bj20021665","Potentiation of liver X receptor transcriptional activity by peroxisome-proliferator-activated receptor gamma co-activator 1alpha","Biochemical Journal","1195259050","Biological Sciences","Biochemistry, Genetics and Molecular Biology",3
"10.1145/200994.201003","Beyond induction variables: detecting and classifying sequences using a demand-driven SSA form","ACM Transactions on Programming Languages and Systems","1400544000",NA,"Physical Sciences",3
"10.1111/polp.12205","Support for Policies on Entrepreneurship and Self-Employment among Parties and Coalition Governments","Politics & Policy","1497092235","Policy And Administration",NA,0.25
"10.1136/ejhpharm-2018-001653","External evaluation of a published population pharmacokinetic model of valproic acid in Thai manic patients","European Journal of Hospital Pharmacy","1538147107",NA,NA,0.5
"10.1146/annurev-med-012017-043208","CD8 T Cell Exhaustion in Chronic Infection and Cancer: Opportunities for Interventions","Annual Review of Medicine","1519912377","Clinical Sciences","Biochemistry, Genetics and Molecular Biology",4.35
"10.1016/j.jep.2014.05.048","The pharmacology of medieval sedatives: The “Great Rest” of the Antidotarium Nicolai","Journal of Ethnopharmacology","1486754467","Plant Biology","Life Sciences",3.75
"10.1097/olq.0b013e318294ff6a","Integration of Family Planning Services into a Sexually Transmitted Disease Clinic Setting","Sexually Transmitted Diseases","1376531163","Medical And Health Sciences","Medicine",1.1
"10.1007/bf00592598","Bradykinin and serotonin effects on various types of cutaneous nerve fibres","Pflugers Archiv European Journal of Physiology","1348531200","Physiology","Biochemistry, Genetics and Molecular Biology",3
"10.1016/j.jenvrad.2017.06.027","Study of the formation of the primary 137 Cs vertical profile in the organic matter-rich sediments","Journal of Environmental Radioactivity","1505127246","Chemical Sciences","Environmental Science",0.5
"10.1016/j.oftal.2017.02.012","Glaucoma neonatal secundario a xantogranuloma juvenil: caso clínico","Archivos de la Sociedad Española de Oftalmología","1495286291",NA,NA,0.5
"10.1002/ca.21069","Preliminary results on a study to locate the pterygopalatine fossa using mathematical formulae","Clinical Anatomy","1499594143","Medical Physiology","Medicine",2.5
"10.1097/md.0000000000003875","Laser speckle contrast imaging identifies ischemic areas on gastric tube reconstructions following esophagectomy","Medicine","1553555744","Clinical Sciences","Medicine",9.75
"10.1080/07036337.2016.1277714","Political leadership in the European Union: an introduction","Journal of European Integration","1487106040","Applied Economics",NA,6.55
"10.1186/s12913-017-2029-2","The role of organizational context in moderating the effect of research use on pain outcomes in hospitalized children: a cross sectional study","BMC Health Services Research","1485810241","Public Health And Health Services","Medicine",0.5
"10.1016/j.ajp.2014.12.005","Illness beliefs of Chinese American immigrants with major depressive disorder in a primary care setting","Asian Journal of Psychiatry","1419297362","Neurosciences","Health Sciences",0.5
"10.7326/0003-4819-77-1-15","Coronary Heart Disease: Overweight and Obesity as Risk Factors","Annals of Internal Medicine","1072915200","Medical And Health Sciences","Medicine",6
"10.1111/fwb.12620","Deriving nutrient targets to prevent excessive cyanobacterial densities in U.S. lakes and reservoirs","Freshwater Biology","1440180634","Environmental Sciences","Agricultural and Biological Sciences",5.45
"10.1049/el:19990333","Transmission resonances in ultra-wideband composite metallic photonic crystals","Electronics Letters","1125964800","Electrical And Electronic Engineering","Physical Sciences",3
"10.1093/eep/dvy012","Transgenerational epigenetic inheritance: from biology to society—Summary Latsis Symposium Aug 28–30, 2017, Zürich, Switzerland","Environmental Epigenetics","1540156932",NA,NA,1
"10.1016/j.oooo.2011.10.034","Successful immediate autotransplantation of tooth with incomplete root formation: case report","Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology","1361623205",NA,NA,1
"10.1093/nar/gkv709","Chromosomal position shift of a regulatory gene alters the bacterial phenotype","Nucleic Acids Research","1437162174","Environmental Sciences","Biochemistry, Genetics and Molecular Biology",1.25
"10.1097/00124743-199906000-00008","Antineutrophil Cytoplasmic Antibodies An Update on Clinical Utility","Journal of Clinical Rheumatology","1158796800","Clinical Sciences","Medicine",3
"10.1007/s11067-017-9366-x","Exploring Bikesharing Travel Patterns and Trip Purposes Using Smart Card Data and Online Point of Interests","Networks & Spatial Economics","1507275480","Applied Mathematics","Physical Sciences",1
"10.1364/josaa.36.000362","Generalized Hanbury Brown-Twiss effect for Stokes parameters","Journal of the Optical Society of America. A, Optics, Image Science, & Vision","1552429829","Optical Physics","Materials Science",1.25
"10.1002/(sici)1097-0010(199902)79:2<257::aid-jsfa186>3.3.co;2-a","Influence of hexamine and sodium nitrite in combination with sodium benzoate and sodium propionate on fermentation and hygienic quality of wilted and long cut grass silage","Journal of the Science of Food and Agriculture","1382400000","Agricultural And Veterinary Sciences","Biochemistry, Genetics and Molecular Biology",3
"10.1121/1.3075603","Verifying the attenuation of earplugs
                    in situ
                    : Method validation on human subjects including individualized numerical simulations","Journal of the Acoustical Society of America","1445299200","Multidisciplinary","Physical Sciences",3
"10.1002/2016ms000768","Submesoscale contribution to subduction: Tracer and momentum fluxes","Journal of Advances in Modeling Earth Systems","1488625248","Atmospheric Sciences",NA,1
"10.1080/13691051003683109","Male and female genital cutting among Southern Thailand's Muslims: rituals, biomedical practice and local discourses","Culture, Health &amp; Sexuality","1553305853","Sociology","Medicine",5.5
"10.1002/dvdy.1109","Type IIA procollagen: Expression in developing chicken limb cartilage and human osteoarthritic articular cartilage","Developmental Dynamics","1308614400","Medical And Health Sciences","Biochemistry, Genetics and Molecular Biology",3
"10.1016/j.jaridenv.2016.03.007","Inter-annual variability in  Prosopis caldenia  pod production in the Argentinean semiarid pampas: A modelling approach","Journal of Arid Environments","1461433151","Earth Sciences","Life Sciences",3.35
"10.1068/i0582","Spatial Location in Brief, Free-Viewing Face Encoding Modulates Contextual Face Recognition","i-Perception","1404175566",NA,NA,1
"10.1101/484543","Tractography Reproducibility Challenge with Empirical Data (TraCED): The 2017 ISMRM Diffusion Study Group Challenge","bioRxiv","1544296781",NA,NA,3.1
"10.1088/0957-0233/23/4/045008","An algorithm for concurrent estimation of time-varying quantities","Measurement Science & Technology","1332340245","Physical Sciences","Mathematics",0.5
"10.1080/21624887.2014.909225","Climate migration as an adaption strategy: de-securitizing climate-induced migration or making the unruly governable?","Critical Studies on Security","1409314670",NA,NA,1
"10.1016/j.jnoncrysol.2009.08.036","Stability and crystallization of Fe81B13Si4C2 amorphous alloy","Journal of Non-Crystalline Solids","1383177600","Materials Engineering","Materials Science",3
"10.1017/iop.2016.100","The Elephant in the Family Room: Work–Family Considerations as Central to Evolving HR and I-O","Industrial & Organizational Psychology","1491573412","Psychology",NA,1
"10.1145/2733373.2806247","Learning Socially Embedded Visual Representation from Scratch",NA,"1446041353",NA,NA,0.5
"10.1002/adaw.20392","Table of Contents","Alcoholism & Drug Abuse Weekly","1377878199",NA,NA,0.5
"10.1109/78.992151","Finite-length MIMO equalization using canonical correlation analysis","IEEE Transactions on Signal Processing","1250553600","Multidisciplinary","Physical Sciences",6
"10.1627/jpi1958.40.291","Phenol Recovery by BPA Tar Hydrolysis in Supercritical Water.",NA,"1454976000",NA,NA,6
"10.1177/030857590803200307","Degrading Attitudes Related to Foreign Appearance: Interviews with Swedish Female Adoptees from Asia","Adoption & Fostering","1374763189","Psychology",NA,2
"10.1002/cjas.1236","Internal Cohesion in Response to Institutional Plurality: The Administrative Sciences Association of Canada","Canadian Journal of Administrative Sciences","1365713531","Business And Management","Social Sciences",1.35
"10.1016/j.compag.2015.08.009","Methodology to decrease the energy demands in wine production using cold pre-fermentation","Computers & Electronics in Agriculture","1450095796","Engineering","Physical Sciences",2
"10.1016/j.bone.2009.01.137","Enzyme replacement therapy (ERT) for murine hypophosphatasia","BONE","1384300800","Medical And Health Sciences","Biochemistry, Genetics and Molecular Biology",3
"10.1103/physrevlett.110.029601","Comment on “Structural and Electronic Properties of
                    T
                    Graphene: A Two-Dimensional Carbon Allotrope with Tetrarings”","Physical Review Letters","1357665360","Physical Sciences","Physical Sciences",7.864
"10.1038/78800","Somatic EPSP amplitude is independent of synapse location in hippocampal pyramidal neurons","Nature Neuroscience","1006819200","Neurosciences","Life Sciences",1
"10.1088/1612-202x/aaaa97","Dual-wavelength vortex beam with high stability in a diode-pumped Yb:CaGdAlO4 laser","Laser Physics Letters","1516679581","Optical Physics","Physical Sciences",0.25
"10.9734/jpri/2017/38019","Design and Evaluation of a New Fixed-Dose Immediate Release Capsule of Atenolol, Enalapril Maleate and Hydrochlorothiazide",NA,"1520121600",NA,NA,1
"10.1165/rcmb.2015-0068oc","Nogo-B Receptor Modulates Pulmonary Artery Smooth Muscle Cell Function in Developing Lungs.","American Journal of Respiratory Cell and Molecular Biology","1466004031","Cardiovascular Medicine And Haematology","Biochemistry, Genetics and Molecular Biology",0.75
"10.2134/agronj2010.0087","Biomass Production in Switchgrass across the United States: Database Description and Determinants of Yield","Agronomy Journal","1293840000","Crop And Pasture Production","Agricultural and Biological Sciences",6
"10.4172/2157-7099.1000451","Bone Marrow Derived Mesenchymal Stem Cell Therapy in Induced Acute Renal Injury in Adult Male Albino Rats","Journal of Cytology & Histology","1500278401",NA,NA,0.5
"10.1016/0002-9378(82)90643-3","Phencyclidine: Its transfer across the placenta as well as into breast milk","American Journal of Obstetrics & Gynecology","441763200","Paediatrics And Reproductive Medicine","Medicine",3
"10.1016/j.celrep.2016.04.026","Antibody Treatment of Ebola and Sudan Virus Infection via a Uniquely Exposed Epitope within the Glycoprotein Receptor-Binding Site","Cell Reports","1547833440",NA,NA,30.13
"10.1089/jmf.2017.0146","Is Curcumin a Possibility to Treat Inflammatory Bowel Diseases?","Journal of Medicinal Food","1545361727","Food Sciences","Medicine",16.6
"10.1007/s00436-018-5961-0","Seasonal variation of Fasciola hepatica antibodies in dairy herds in Northern Ireland measured by bulk tank milk ELISA","Parasitology Research","1549271774","Microbiology","Health Sciences",8.1
"10.1186/s12917-014-0182-y","Bovine tuberculosis slaughter surveillance in the United States 2001–2010: assessment of its traceback investigation function","BMC Veterinary Research","1540154323","Veterinary Sciences","Veterinary",10.186
"10.1007/s10546-017-0312-8","Evaluating Weather Research and Forecasting Model Sensitivity to Land and Soil Conditions Representative of Karst Landscapes","Boundary-Layer Meteorology","1509475570","Atmospheric Sciences","Earth and Planetary Sciences",1
"10.1016/j.molmet.2018.04.003","Sex differences in obesity, lipid metabolism, and inflammation—A role for the sex chromosomes?","Molecular Metabolism","1525196596",NA,NA,0.75
"10.1016/j.chroma.2011.10.020","Direct quantification of mono- and di-d-α-tocopherol polyethylene glycol 1000 succinate by high performance liquid chromatography","Journal of Chromatography A","1531180800","Chemical Sciences","Biochemistry, Genetics and Molecular Biology",6
"10.3892/or.2016.4873","Combination treatment with proteasome inhibitors and antiestrogens has a synergistic effect mediated by p21WAF1 in estrogen receptor-positive breast cancer","Oncology Reports","1467753853","Oncology And Carcinogenesis","Biochemistry, Genetics and Molecular Biology",0.25
"10.1353/khs.2017.0050","Kentucky’s “Atomic Graveyard”: Maxey Flats and Environmental Inequity in Rural America","Register of the Kentucky Historical Society","1490719761",NA,NA,8.9
"10.1007/1-4020-2669-2_7","An Overview of Hydrogen Storage Methods",NA,"1348780221","Characterization and Evaluation Materials",NA,0.25
"10.1007/jhep10(2018)009","Emergent dark matter in late time universe on holographic screen","Journal of High Energy Physics","1538700149","Mathematical Sciences","Physical Sciences",10.18
"10.1002/aoc.1589","Reactivity of organosilicon precursors in remote hydrogen microwave plasma chemical vapor deposition of silicon carbide and silicon carbonitride thin-film coatings","Applied Organometallic Chemistry","1529366400","Inorganic Chemistry","Physical Sciences",6
"10.1007/s10964-016-0596-x","When Mothers and Fathers Are Seen as Disproportionately Valuing Achievements: Implications for Adjustment Among Upper Middle Class Youth","Journal of Youth & Adolescence","1497162094","Child and School Psychology","Psychology",163.342
"10.4995/ia.1999.2779","Consideraciones de diseño para la eliminación biológica de fósforo empleando procesos biopelícula","Ingenieria del Agua","1554796641",NA,NA,0.25
"10.1016/j.jprot.2014.11.008","Characterization of proteins in soybean roots under flooding and drought stresses","Journal of Proteomics","1443787872","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",0.25
"10.1016/j.tetlet.2007.11.045","Stereospecific synthesis of the sex pheromone of the passionvine mealybug, Planococcus minor","Tetrahedron Letters: International Organ for the Rapid Publication of Preliminary Communications in Organic Chemistry","1441670400","Organic Chemistry","Biochemistry, Genetics and Molecular Biology",6
"10.4161/cbt.5.4.2552","Multiple-criterion evaluation of reported mutations: A proposed scoring system for the intragenic somatic mutation literature","Cancer Biology and Therapy","1502659813","Oncology And Carcinogenesis","Biochemistry, Genetics and Molecular Biology",0.5
"10.1103/physrevd.85.122001","Upper limits on a stochastic gravitational-wave background using LIGO and Virgo interferometers at 600–1000 Hz","Physical Review D: Particles Fields Gravitation and Cosmology","1354840748","Astronomical And Space Sciences","Physical Sciences",2.85
"10.1016/j.yexcr.2010.04.006","C2C12 myoblasts release micro-vesicles containing mtDNA and proteins involved in signal transduction","Experimental Cell Research","1524096000","Biochemistry And Cell Biology","Biochemistry, Genetics and Molecular Biology",6
"10.1002/chem.201402516","Nickel-Catalyzed Decarboxylative Acylation of Heteroarenes by sp
                    2
                    CH Functionalization","Chemistry - A European Journal","1452729600","Chemical Sciences","Physical Sciences",3
